line,station,median,mean
red,alewife,41649,63735
red,davis,60647,73133
red,porter,90238,114086
red,harvard,65139,116363
red,central,52192,87440
red,kendall,54914,73180
red,charles mgh,54228,77575
red,park street,41786,135832
red,downtown crossing,78750,108000
red,south station,41786,135832
red,broadway,66179,99830
red,andrew,	66179,99830
red,jfk umass,59345,79508
red,north quincy,68913,84402
red,wollaston,69631,89641
red,quincy center,48089,59317
red,quincy adams,41193,52482
red,braintree,74324,90850
